ID	X-coordinate	Y-coordinate	clay	silt	sand_f	sand_c	humus
409	535182.32	6247918.50	12.270	12.270	39.162	36.299	2.200
411	535176.62	6247937.70	9.816	13.804	32.515	43.865	2.200
413	535170.92	6247956.80	9.202	11.350	32.209	47.239	2.200
415	535165.12	6247976.00	8.607	11.373	32.480	47.541	2.300
417	535159.42	6247995.10	8.205	11.795	35.897	44.103	2.400
419	535153.72	6248014.20	8.495	8.905	32.037	50.563	2.200
421	535147.92	6248033.40	8.528	5.279	25.482	60.711	1.600
425	535142.22	6248052.50	7.419	8.333	30.285	53.963	1.600
427	535136.52	6248071.70	6.946	9.397	38.202	45.455	2.000
429	535130.72	6248090.80	7.528	8.342	39.674	44.456	1.800
437	535230.22	6247828.50	9.193	12.257	43.105	35.444	2.100
439	535224.42	6247847.70	9.314	11.771	44.012	34.903	2.400
441	535218.72	6247866.80	11.837	12.755	39.184	36.224	2.000
443	535213.02	6247886.00	11.236	12.257	40.347	36.159	2.000
445	535207.22	6247905.10	10.816	13.673	40.000	35.510	2.000
447	535201.52	6247924.20	10.725	12.870	38.713	37.692	2.100
449	535195.82	6247943.40	9.714	12.270	37.219	40.798	2.100
451	535190.02	6247962.50	10.204	10.816	34.694	44.286	2.000
453	535184.32	6247981.70	9.582	9.888	30.785	49.745	1.900
455	535178.62	6248000.80	9.174	10.296	28.338	52.192	1.900
457	535172.82	6248020.00	10.102	10.816	31.735	47.347	2.000
459	535167.12	6248039.10	8.563	9.888	36.086	45.464	1.900
463	535161.42	6248058.30	8.155	9.786	40.775	41.284	2.000
465	535155.62	6248077.40	7.325	7.426	33.978	51.272	1.600
467	535149.92	6248096.60	6.883	6.883	30.364	55.870	1.300
469	535249.32	6247834.30	10.838	12.168	42.127	34.867	2.100
471	535243.62	6247853.40	9.184	10.714	40.102	40.000	1.900
473	535237.82	6247872.50	10.306	13.265	41.633	34.796	2.000
475	535232.12	6247891.70	10.194	11.315	39.450	39.042	1.900
477	535226.42	6247910.80	9.174	11.315	35.270	44.241	2.000
479	535220.62	6247930.00	11.735	11.327	35.510	41.429	2.000
481	535214.92	6247949.10	11.315	10.703	33.843	44.139	1.900
483	535209.22	6247968.30	12.245	11.224	35.204	41.327	2.000
485	535203.42	6247987.40	10.612	10.306	31.327	47.755	1.900
487	535197.72	6248006.60	8.682	9.704	30.031	51.583	2.100
489	535192.02	6248025.70	9.100	9.816	34.049	47.035	2.200
491	535186.22	6248044.90	8.589	9.305	31.697	50.409	2.100
493	535180.52	6248064.00	8.069	9.295	39.734	42.901	2.100
495	535174.82	6248083.10	6.939	7.857	29.082	56.122	1.900
497	535169.02	6248102.30	8.053	9.276	38.022	44.648	1.800
499	535268.42	6247840.00	11.224	12.245	38.673	37.857	2.000
501	535262.72	6247859.10	11.236	11.236	40.756	36.772	2.100
503	535257.02	6247878.30	10.225	13.804	39.775	36.196	2.200
505	535251.22	6247897.40	9.694	11.837	36.429	42.041	2.100
507	535245.52	6247916.60	10.204	11.837	35.000	42.959	2.100
509	535239.82	6247935.70	12.729	9.776	36.660	40.835	1.900
511	535234.02	6247954.90	10.692	10.794	32.790	45.723	1.900
513	535228.32	6247974.00	11.837	11.224	35.408	41.531	2.100
515	535222.62	6247993.20	9.156	10.783	32.350	47.711	1.800
517	535216.82	6248012.30	8.682	11.849	33.912	45.557	2.200
519	535211.12	6248031.40	9.110	11.361	35.415	44.115	2.200
521	535205.42	6248050.60	9.202	10.736	37.628	42.434	2.200
523	535199.62	6248069.70	9.184	7.653	39.388	43.776	2.000
525	535193.92	6248088.90	7.543	9.378	36.799	46.279	2.000
527	535188.22	6248108.00	7.543	8.359	34.455	49.643	1.900
529	535287.62	6247845.70	12.334	12.232	39.246	36.188	1.900
531	535281.92	6247864.90	13.265	11.327	36.020	39.388	2.100
533	535276.12	6247884.00	11.837	10.714	40.612	36.837	2.000
535	535270.42	6247903.20	11.224	11.735	38.571	38.469	1.900
537	535264.72	6247922.30	10.703	10.296	35.474	43.527	2.000
539	535258.92	6247941.40	11.597	8.850	33.367	46.185	1.700
541	535253.22	6247960.60	12.220	9.267	28.921	49.593	1.800
543	535247.52	6247979.70	10.225	12.270	34.867	42.638	2.100
545	535241.72	6247998.90	9.267	10.692	35.132	44.908	1.900
547	535236.02	6248018.00	7.143	12.347	35.102	45.408	2.000
549	535230.31	6248037.20	8.700	10.235	38.280	42.784	2.200
551	535224.51	6248056.30	9.082	9.898	39.184	41.837	2.100
553	535218.81	6248075.50	8.053	9.378	36.493	46.075	1.900
555	535213.11	6248094.60	5.906	6.925	29.328	57.841	1.800
557	535207.31	6248113.80	7.332	6.925	34.318	51.426	1.800
559	535306.72	6247851.50	12.245	11.735	37.755	38.265	2.000
561	535301.02	6247870.60	12.220	11.303	36.253	40.224	1.900
563	535295.32	6247889.70	11.759	11.247	38.650	38.344	2.200
565	535289.52	6247908.90	10.725	11.849	36.466	40.960	2.100
567	535283.81	6247928.00	11.747	11.849	34.525	41.879	2.100
569	535278.11	6247947.20	11.100	8.248	33.198	47.454	1.800
571	535272.31	6247966.30	11.100	9.369	30.143	49.389	1.800
573	535266.61	6247985.50	11.224	10.714	33.469	44.592	2.000
575	535260.91	6248004.60	9.156	10.783	33.367	46.694	1.800
577	535255.11	6248023.80	8.163	11.327	36.327	44.184	2.000
579	535249.41	6248042.90	8.180	10.838	37.526	43.456	2.200
581	535243.71	6248062.10	10.215	10.827	37.283	41.675	2.100
583	535237.91	6248081.20	10.112	8.887	36.364	44.637	2.100
585	535232.21	6248100.30	7.935	5.392	38.047	48.627	1.700
587	535325.91	6247857.20	11.315	11.213	39.246	38.226	2.000
589	535320.11	6247876.30	9.602	12.870	33.810	43.718	2.100
591	535314.41	6247895.50	10.102	9.388	37.755	42.755	2.100
593	535308.71	6247914.60	10.634	10.838	36.912	41.616	2.100
595	535302.91	6247933.80	9.202	10.327	35.787	44.683	2.200
597	535297.21	6247952.90	9.621	10.850	30.297	49.232	2.200
599	535291.51	6247972.10	10.123	10.838	31.186	47.853	2.200
601	535285.71	6247991.20	10.645	10.338	29.273	49.744	2.200
603	535280.01	6248010.40	8.691	11.247	34.151	45.910	2.100
605	535274.31	6248029.50	7.653	10.816	35.306	46.224	2.100
607	535268.51	6248048.60	8.086	8.393	31.832	51.689	2.400
609	535262.81	6248067.80	9.611	9.918	35.378	45.092	2.200
611	535257.11	6248086.90	9.704	10.317	34.321	45.659	2.200
613	535251.31	6248106.10	8.563	9.378	33.945	48.114	1.900
