XUTM,YUTM,EC 0-0.25 m
478410.87500,6309992.00000,12.96738
478409.65625,6309990.00000,13.00027
478409.65625,6309989.00000,13.10576
478409.65625,6309988.00000,13.16996
478409.65625,6309987.00000,13.20810
478409.56250,6309991.00000,12.83417
478410.59375,6309986.00000,12.69090
478409.68750,6309986.00000,13.22358
478416.25000,6309984.50000,6.68684
478413.59375,6309984.50000,8.45579
478415.53125,6309984.00000,6.93973
478412.25000,6309984.50000,10.11301
478411.56250,6309984.50000,11.36130
478410.59375,6309985.00000,12.38259
478421.81250,6309993.00000,12.94479
478419.53125,6309995.50000,12.75269
478420.78125,6309995.50000,12.85684
478420.84375,6309994.50000,13.03868
478421.93750,6309994.00000,13.03503
478422.65625,6309992.50000,13.10117
478422.62500,6309991.50000,12.40221
478422.62500,6309990.50000,11.12532
478422.65625,6309989.50000,9.55722
478418.87500,6309995.50000,12.58601
478418.81250,6309996.50000,12.55928
478414.37500,6310002.50000,12.16176
478417.78125,6309997.50000,12.25837
478413.37500,6310003.00000,12.23822
478411.46875,6309994.50000,12.70855
478422.68750,6309988.50000,7.85814
478422.71875,6309987.50000,6.28204
478422.78125,6309986.50000,5.23317
478421.68750,6309986.00000,4.98416
478420.93750,6309985.50000,4.77562
478420.06250,6309985.50000,4.96920
478419.31250,6309985.00000,4.79728
478418.28125,6309984.50000,5.05927
478417.18750,6309984.00000,5.70295
478411.03125,6309993.00000,12.86866
478411.21875,6309994.00000,12.70545
478408.81250,6309992.50000,12.77367
478408.62500,6309989.50000,12.93835
478408.68750,6309990.50000,12.90440
478408.59375,6309988.50000,12.99967
478408.62500,6309987.50000,13.09762
478408.62500,6309986.50000,13.23994
478408.71875,6309991.50000,12.85638
478409.71875,6309985.00000,13.19369
478408.59375,6309985.50000,13.39380
478416.28125,6309983.50000,6.20228
478413.62500,6309983.50000,8.15847
478414.50000,6309983.00000,7.24547
478412.28125,6309983.50000,9.42525
478415.53125,6309983.00000,6.45681
478411.59375,6309983.50000,10.83736
478410.59375,6309984.00000,12.05765
478409.75000,6309984.00000,13.10321
478422.65625,6309993.50000,13.31642
478419.78125,6309996.50000,12.80164
478420.84375,6309995.50000,12.92349
478422.12500,6309995.00000,13.14399
478422.65625,6309994.50000,13.28479
478423.68750,6309991.50000,12.77171
478423.78125,6309992.50000,13.21979
478423.62500,6309990.50000,11.83852
478423.59375,6309989.50000,10.48112
478423.56250,6309988.50000,8.71561
478418.75000,6309997.50000,12.51059
478420.06250,6309997.50000,12.71070
478414.75000,6310008.00000,13.93483
478415.75000,6310007.50000,13.96196
478415.37500,6310002.50000,11.95446
478417.37500,6310002.50000,11.85483
478416.37500,6310002.50000,11.78125
478418.37500,6310002.50000,11.91684
478413.78125,6310008.00000,14.12758
478412.37500,6310003.00000,12.34280
478411.40625,6310003.00000,12.69142
478409.40625,6310003.00000,13.15645
478410.40625,6310003.00000,12.96570
478407.21875,6309994.00000,12.78969
478423.53125,6309987.50000,7.09956
478423.46875,6309986.50000,5.73065
478423.50000,6309985.50000,5.09106
478422.81250,6309985.50000,4.77456
478421.68750,6309985.00000,4.66519
478420.96875,6309984.50000,4.60514
478420.09375,6309984.50000,4.66621
478419.34375,6309984.00000,4.53742
478418.28125,6309983.50000,4.81760
478418.31250,6309982.50000,5.09593
478416.31250,6309982.50000,5.97851
478407.06250,6309993.00000,12.72204
478406.96875,6309992.00000,12.76889
478407.40625,6309990.00000,12.82392
478407.62500,6309989.00000,12.86669
478407.12500,6309991.00000,12.81835
478407.75000,6309988.00000,12.96062
478407.78125,6309987.00000,13.17805
478407.84375,6309986.00000,13.37713
478408.62500,6309984.50000,13.55108
478407.87500,6309985.00000,13.58790
478413.68750,6309982.50000,7.91441
478412.31250,6309982.50000,9.23245
478415.56250,6309982.00000,6.72838
478411.62500,6309982.50000,10.47811
478410.62500,6309983.00000,11.97433
478409.78125,6309983.00000,13.03231
478408.65625,6309983.50000,13.65440
478423.90625,6309993.50000,13.47752
478420.84375,6309996.50000,12.79043
478421.06250,6309996.00000,13.02683
478422.43750,6309996.00000,13.28231
478422.56250,6309995.50000,13.28278
478424.06250,6309994.50000,13.66626
478424.43750,6309992.50000,13.54103
478424.56250,6309991.00000,12.85157
478424.53125,6309993.50000,13.75978
478424.62500,6309989.50000,11.06232
478424.75000,6309988.50000,8.35915
478419.37500,6310002.50000,12.11678
478420.37500,6310002.50000,12.55113
478420.84375,6309997.50000,12.79032
478416.75000,6310007.50000,14.01784
478418.75000,6310007.50000,13.65511
478417.75000,6310007.50000,13.78617
