"x";"y";"ECa";"optional"
"1296";535278.5625;6248032;2.8397;TRUE
"1297";535277.0625;6248039;3.12675;TRUE
"1298";535275.5625;6248043.5;3.11257;TRUE
"1301";535281.1875;6248026.5;2.82554;TRUE
"1302";535283.875;6248017.5;2.90676;TRUE
"1303";535283.1875;6248021;2.85715;TRUE
"1304";535282.1875;6248023.5;2.82875;TRUE
"1378";535289.625;6247968.5;2.9887;TRUE
"1379";535286.75;6247967.5;3.01985;TRUE
"1380";535283.9375;6247966.5;3.19554;TRUE
"1381";535281;6247952;4.57767;TRUE
"1382";535280.3125;6247959.5;4.31502;TRUE
"1383";535281.0625;6247966;3.81234;TRUE
"1384";535281.5;6247944.5;4.51594;TRUE
"1385";535283.5625;6247936;4.33807;TRUE
"1386";535284.875;6247930;4.02044;TRUE
"1387";535285.125;6247919.5;4.75715;TRUE
"1388";535286.25;6247913.5;4.93513;TRUE
"1389";535287;6247906.5;5.70192;TRUE
"1390";535288.6875;6247896.5;6.21614;TRUE
"1391";535292.5;6247891;6.4968;TRUE
"1392";535295.25;6247885.5;6.53418;TRUE
"1393";535290.375;6247859.5;9.19953;TRUE
"1394";535287.5;6247859;9.28561;TRUE
"1395";535296.5;6247861.5;8.86907;TRUE
"1396";535284.625;6247858;9.05507;TRUE
"1397";535278.875;6247856.5;7.96016;TRUE
"1398";535281.75;6247857;8.52207;TRUE
"1399";535276;6247855.5;7.6765;TRUE
"1400";535243.4375;6247845.5;4.28225;TRUE
"1401";535240.5625;6247844.5;4.16008;TRUE
"1402";535237.6875;6247843.5;3.91025;TRUE
"1403";535234.8125;6247842.5;3.75113;TRUE
"1404";535230.5625;6247830.5;3.56439;TRUE
"1405";535246.3125;6247846;4.28168;TRUE
"1406";535249.125;6247847;4.43082;TRUE
"1407";535254.0625;6247848.5;4.93612;TRUE
"1408";535231.9375;6247842;3.54871;TRUE
"1409";535229.0625;6247841;3.33931;TRUE
"1410";535220.75;6247827.5;2.95473;TRUE
"1411";535223.25;6247839.5;2.86798;TRUE
"1412";535226.1875;6247840;3.07991;TRUE
"1413";535220.4375;6247838.5;2.70756;TRUE
"1415";535219.75;6247820.5;3.01509;TRUE
"1426";535256.9375;6247849.5;5.05763;TRUE
"1427";535259.8125;6247850.5;5.24906;TRUE
"1428";535262.6875;6247851;5.54131;TRUE
"1429";535273.125;6247854.5;7.31583;TRUE
"1430";535270.3125;6247853.5;6.82485;TRUE
"1431";535267.4375;6247852.5;6.27965;TRUE
"1432";535295.625;6247874;7.82733;TRUE
"1433";535296.375;6247868.5;8.25037;TRUE
"1434";535292.4375;6247884.5;6.65403;TRUE
"1482";535142.625;6248104;3.25223;TRUE
"1483";535146.25;6248106;3.24074;TRUE
"1484";535135;6248104.5;2.9987;TRUE
"1485";535132.4375;6248103;2.82013;TRUE
"1490";535150.9375;6248108;2.83064;TRUE
"1499";535283.8125;6247983.5;3.21232;TRUE
"1500";535286.1875;6247978;2.88842;TRUE
"1501";535279.5625;6248005.5;3.418;TRUE
"1502";535279.9375;6248013.5;3.10196;TRUE
"1503";535280.125;6247996.5;3.52935;TRUE
"1504";535280.75;6247990.5;3.4547;TRUE
"1505";535282.5;6248015;2.97664;TRUE
"1514";535277.9375;6248029;2.85657;TRUE
"1515";535276.4375;6248034;2.93176;TRUE
"1516";535273.5;6248034;3.06;TRUE
"1517";535272.1875;6248041.5;3.12992;TRUE
"1518";535273.4375;6248044;3.1383;TRUE
"1519";535272.25;6248047;3.13657;TRUE
"1520";535273.5625;6248050.5;3.16497;TRUE
"1521";535280;6248021;2.86617;TRUE
"1522";535275.4375;6248027.5;2.92483;TRUE
"1523";535277.0625;6248021;2.90818;TRUE
"1524";535282.8125;6248020;2.91802;TRUE
"1605";535283.25;6247977.5;2.84803;TRUE
"1606";535280.375;6247976.5;3.11695;TRUE
"1607";535276.4375;6247958;5.06509;TRUE
"1608";535278.125;6247951;5.22087;TRUE
"1609";535278.1875;6247965;4.45311;TRUE
"1610";535275.3125;6247964;5.11929;TRUE
"1611";535277.5;6247975.5;4.03758;TRUE
"1612";535278.625;6247943.5;5.10703;TRUE
"1613";535280.6875;6247935;5.06245;TRUE
"1614";535282;6247929.5;4.77284;TRUE
"1615";535282.25;6247918.5;5.14156;TRUE
"1616";535283.375;6247912.5;5.25807;TRUE
"1617";535280.625;6247904.5;5.74472;TRUE
"1618";535285.8125;6247896;6.36903;TRUE
"1619";535280.5625;6247912;5.57463;TRUE
"1620";535289.625;6247890;6.59783;TRUE
"1621";535290.625;6247867;8.51466;TRUE
"1622";535287.75;6247866;8.72354;TRUE
"1623";535283.375;6247864.5;9.12463;TRUE
"1624";535293.5;6247867.5;8.38922;TRUE
"1625";535280.5;6247864;8.99641;TRUE
"1626";535274.8125;6247862;8.12236;TRUE
"1627";535277.6875;6247863;8.54377;TRUE
"1628";535271.9375;6247861;7.69431;TRUE
"1629";535239;6247851;4.23142;TRUE
"1630";535246.0625;6247853.5;4.27847;TRUE
"1631";535236.125;6247850.5;4.1502;TRUE
"1632";535233.25;6247849.5;3.93222;TRUE
"1633";535230.375;6247848.5;3.61863;TRUE
"1634";535248.9375;6247854;4.44258;TRUE
"1635";535251.8125;6247855;4.65235;TRUE
"1636";535254.6875;6247856;4.88566;TRUE
"1637";535227.5;6247847.5;3.35908;TRUE
"1638";535224.625;6247847;3.13748;TRUE
"1639";535217.5625;6247837.5;2.52797;TRUE
"1640";535217.875;6247826.5;2.6348;TRUE
"1641";535218.9375;6247845;2.7398;TRUE
"1642";535221.8125;6247846;2.83665;TRUE
"1643";535216.0625;6247844;2.59332;TRUE
"1644";535216.875;6247819.5;2.68644;TRUE
"1646";535214;6247818.5;2.54112;TRUE
"1649";535192.375;6247812.5;2.62513;TRUE
"1652";535189.5;6247811.5;2.73927;TRUE
"1654";535199.5;6247814.5;2.50751;TRUE
"1657";535257.5625;6247857;5.1367;TRUE
"1658";535260.4375;6247857.5;5.43692;TRUE
"1659";535263.3125;6247858.5;5.89911;TRUE
"1660";535269.0625;6247860.5;7.1364;TRUE
"1661";535266.1875;6247859.5;6.55881;TRUE
"1662";535292.75;6247873;8.20941;TRUE
"1663";535289.5625;6247883.5;6.73944;TRUE
"1706";535139.1875;6248102;3.14052;TRUE
"1707";535146.5625;6248103.5;3.28404;TRUE
"1708";535141.375;6248101;3.22466;TRUE
"1709";535149.3125;6248105;3.10244;TRUE
"1710";535135.9375;6248100;2.91628;TRUE
"1711";535132.6875;6248098;2.63448;TRUE
"1712";535128.9375;6248100.5;2.55904;TRUE
"1717";535154.125;6248109;2.60927;TRUE
"1719";535153.6875;6248106.5;2.47006;TRUE
"1728";535280.9375;6247983;3.41856;TRUE
"1729";535277.0625;6248012.5;3.27795;TRUE
"1730";535276.6875;6248005;3.61772;TRUE
"1731";535277.1875;6247996;3.91171;TRUE
"1732";535277.875;6247989.5;3.90102;TRUE
"1745";535269.625;6248040;3.09564;TRUE
"1746";535270.5625;6248033;3.07795;TRUE
"1747";535269.5;6248048;3.13069;TRUE
"1748";535271.9375;6248056.5;3.55048;TRUE
"1749";535267.0625;6248055.5;3.60667;TRUE
"1750";535272.625;6248026.5;3.02632;TRUE
"1751";535274.125;6248020;3.11915;TRUE
"1872";535278.0625;6247982;4.03457;TRUE
"1873";535272.4375;6247963;6.05156;TRUE
"1874";535272.5;6247957;6.10048;TRUE
"1875";535274.3125;6247950;6.30675;TRUE
"1876";535274.6875;6247975;4.9297;TRUE
"1877";535271.8125;6247974;5.55822;TRUE
"1878";535275.1875;6247981;4.99583;TRUE
"1879";535275.75;6247943;5.7365;TRUE
"1880";535277.8125;6247934;6.08886;TRUE
"1881";535279.125;6247928.5;5.57374;TRUE
"1882";535279.375;6247918;5.48832;TRUE
"1883";535277.6875;6247911;5.69952;TRUE
"1884";535277.75;6247903.5;5.8322;TRUE
"1885";535282.9375;6247895;6.51263;TRUE
"1886";535286.75;6247889.5;6.68402;TRUE
"1887";535276.5;6247917;5.74671;TRUE
"1888";535287.0625;6247871.5;8.40322;TRUE
"1889";535289.875;6247872.5;8.39438;TRUE
"1890";535284.1875;6247870.5;8.55844;TRUE
"1891";535281.3125;6247869.5;8.54195;TRUE
"1892";535278.4375;6247869;8.15898;TRUE
"1893";535272.125;6247867;7.20733;TRUE
"1894";535269.25;6247866;6.7691;TRUE
"1895";535237.75;6247856.5;4.17267;TRUE
"1896";535240.625;6247857;4.20955;TRUE
"1897";535234.875;6247855.5;4.08313;TRUE
"1898";535243.5;6247858;4.18701;TRUE
"1899";535246.375;6247859;4.19161;TRUE
"1900";535232;6247854.5;3.92844;TRUE
"1901";535229.125;6247853.5;3.69013;TRUE
"1902";535226.25;6247853;3.37398;TRUE
"1903";535249.25;6247859.5;4.32426;TRUE
"1904";535252.0625;6247860.5;4.45452;TRUE
"1905";535254.9375;6247861.5;4.65777;TRUE
"1906";535223.375;6247852;3.21089;TRUE
"1907";535220.5;6247851;3.02932;TRUE
"1908";535214.6875;6247837;2.48691;TRUE
"1909";535213.1875;6247843.5;2.54177;TRUE
"1910";535211.8125;6247836;2.38696;TRUE
"1911";535211.375;6247824.5;2.15165;TRUE
"1912";535214.6875;6247849.5;2.99808;TRUE
"1913";535217.5625;6247850.5;2.88308;TRUE
"1914";535211.875;6247848.5;2.96892;TRUE
"1916";535208.5;6247823.5;2.09245;TRUE
"1917";535208.625;6247817;2.43217;TRUE
"1918";535186.6875;6247810.5;2.64773;TRUE
