XUTM,YUTM,EC 0-0.25 m
504420.37500,6148838.50000,27.03082
504420.18750,6148834.50000,23.21615
504420.40625,6148839.50000,27.62647
504420.12500,6148833.50000,22.73492
504422.65625,6148830.50000,22.47747
504423.46875,6148830.00000,23.14119
504422.06250,6148831.00000,22.23805
504421.65625,6148832.00000,22.13369
504420.09375,6148832.50000,22.22710
504424.62500,6148829.50000,23.76015
504427.37500,6148829.00000,25.95606
504428.46875,6148829.00000,25.98272
504426.93750,6148828.50000,25.59418
504425.71875,6148828.50000,25.17593
504424.62500,6148829.50000,23.98782
504428.78125,6148829.50000,26.45157
504430.68750,6148829.50000,24.70962
504432.56250,6148830.50000,21.31822
504432.37500,6148830.00000,21.92256
504431.25000,6148829.50000,23.82511
504432.93750,6148831.00000,19.00834
504435.68750,6148838.00000,15.76740
504436.21875,6148836.50000,13.74027
504436.18750,6148835.50000,12.30212
504436.46875,6148836.00000,13.14571
504436.12500,6148835.00000,11.90703
504435.75000,6148834.00000,11.16430
504436.15625,6148834.50000,10.99730
504436.28125,6148837.50000,14.54136
504433.62500,6148830.50000,16.29341
504436.12500,6148833.50000,10.71324
504436.09375,6148832.50000,10.82855
504434.56250,6148830.50000,13.83593
504436.06250,6148831.50000,11.02358
504436.00000,6148830.50000,11.83604
504427.65625,6148842.00000,24.42144
504426.93750,6148842.50000,24.31706
504420.43750,6148840.50000,27.96177
504421.31250,6148841.00000,28.40837
504422.18750,6148841.00000,28.41056
504423.03125,6148841.50000,27.52081
504423.90625,6148842.00000,26.29037
504424.96875,6148842.50000,24.75853
504425.75000,6148842.50000,24.34526
504429.65625,6148842.50000,25.86927
504430.68750,6148842.50000,25.44747
504432.00000,6148842.00000,24.22459
504433.00000,6148841.50000,22.98399
504427.96875,6148842.00000,24.81706
504428.53125,6148843.00000,25.44189
504433.68750,6148840.50000,21.66838
504434.59375,6148839.50000,19.06637
504434.62500,6148840.50000,19.13107
504435.84375,6148839.50000,16.69710
504419.15625,6148837.00000,25.40936
504419.03125,6148836.00000,24.63425
504419.25000,6148837.50000,26.29733
504418.87500,6148835.00000,23.62578
504419.31250,6148838.50000,27.03565
504418.62500,6148833.50000,21.97838
504420.06250,6148833.50000,22.60974
504418.62500,6148834.00000,22.44574
504419.34375,6148839.50000,27.50818
504422.25000,6148829.50000,22.68443
504422.03125,6148830.00000,22.42407
504423.34375,6148829.00000,23.31276
504421.09375,6148831.00000,22.09830
504419.71875,6148832.50000,21.95182
504420.06250,6148831.50000,21.95734
504428.43750,6148828.50000,25.60344
504430.28125,6148828.50000,23.84528
504428.21875,6148827.50000,25.27683
504428.43750,6148828.00000,25.17460
504426.93750,6148828.00000,25.66986
504424.34375,6148829.00000,23.81727
504424.09375,6148828.00000,24.43077
504425.56250,6148827.50000,25.77249
504431.18750,6148828.50000,23.19216
504433.03125,6148830.00000,19.21879
504432.53125,6148829.50000,20.82116
504431.81250,6148829.00000,21.59539
504436.31250,6148838.50000,15.26312
504436.68750,6148837.00000,13.83858
504438.06250,6148835.50000,12.34998
504437.68750,6148834.50000,11.51470
504438.25000,6148836.50000,13.28166
504437.28125,6148833.50000,10.64358
504436.87500,6148838.00000,14.48850
504434.53125,6148829.50000,14.90990
504436.87500,6148832.50000,10.38659
504436.43750,6148831.50000,10.74993
504436.03125,6148830.50000,12.07065
504435.71875,6148830.00000,13.10603
504436.81250,6148830.50000,11.45407
504427.65625,6148843.00000,24.18137
504426.93750,6148843.50000,23.84293
504419.37500,6148840.50000,27.59783
504420.46875,6148841.50000,28.01485
504421.34375,6148842.00000,28.31928
504422.18750,6148842.00000,28.27309
504423.06250,6148842.50000,27.40896
504423.93750,6148843.00000,26.13821
504424.96875,6148843.50000,24.77497
504425.78125,6148843.50000,23.91754
504429.65625,6148843.50000,25.67202
504430.62500,6148843.50000,25.39288
504432.06250,6148843.00000,24.35679
504433.03125,6148842.50000,23.29782
504433.71875,6148841.50000,22.08604
504427.96875,6148843.00000,24.48969
504428.53125,6148844.00000,25.07019
504434.65625,6148841.50000,19.60432
504435.90625,6148840.50000,17.50495
504436.37500,6148839.50000,15.59175
504436.43750,6148840.50000,16.19057
504418.71875,6148836.50000,24.37480
504418.71875,6148837.50000,25.31398
504418.68750,6148835.50000,23.53772
504418.75000,6148838.50000,26.22605
504418.65625,6148834.50000,22.74301
504418.75000,6148839.50000,26.84818
504418.34375,6148833.00000,21.51429
504418.62500,6148832.50000,21.64267
