XUTM,YUTM,EC 0-0.25 m
648615.81250,6132572.50000,10.92478
648615.56250,6132571.50000,10.66474
648615.31250,6132570.50000,10.66124
648616.00000,6132569.50000,10.32873
648616.18750,6132569.00000,9.99936
648616.18750,6132568.00000,9.60933
648616.00000,6132567.00000,9.66299
648616.31250,6132566.00000,9.73495
648615.93750,6132564.50000,10.03260
648613.62500,6132574.50000,11.41239
648612.62500,6132574.50000,11.86773
648611.68750,6132575.00000,12.70528
648614.56250,6132574.00000,11.11855
648610.75000,6132575.00000,13.49646
648609.75000,6132575.50000,14.34561
648615.50000,6132573.50000,10.98890
648608.81250,6132575.50000,15.39640
648607.81250,6132576.00000,16.54192
648606.87500,6132576.50000,17.68537
648605.25000,6132575.50000,18.37378
648604.00000,6132575.00000,19.28552
648603.31250,6132574.00000,19.43167
648602.56250,6132573.50000,19.23456
648601.50000,6132573.50000,18.84499
648601.56250,6132574.00000,19.79087
648600.56250,6132572.50000,17.92195
648599.75000,6132572.00000,16.80683
648598.87500,6132570.50000,15.28259
648605.93750,6132576.50000,18.74425
648598.06250,6132567.50000,13.08361
648597.18750,6132567.50000,12.95985
648596.31250,6132565.00000,12.43187
648596.18750,6132564.00000,11.98222
648596.93750,6132562.00000,12.05546
648596.00000,6132562.50000,11.88080
648596.93750,6132561.00000,12.46721
648599.75000,6132559.00000,16.14144
648598.75000,6132559.50000,14.91539
648597.81250,6132559.50000,13.90813
648596.87500,6132560.00000,13.25764
648598.37500,6132569.50000,14.45125
648598.18750,6132569.50000,14.18782
648598.00000,6132569.00000,13.68462
648615.18750,6132563.50000,10.20569
648614.43750,6132563.00000,10.32233
648610.50000,6132557.50000,15.28836
648612.43750,6132558.00000,13.05889
648611.43750,6132557.00000,14.50986
648614.37500,6132562.00000,10.55820
648614.62500,6132561.00000,10.80452
648614.18750,6132560.00000,11.47551
648613.87500,6132559.00000,11.98730
648613.37500,6132558.00000,12.57796
648609.31250,6132556.50000,16.94314
648603.68750,6132556.50000,22.32557
648604.68750,6132556.50000,22.61315
648602.75000,6132557.00000,22.12227
648605.62500,6132556.00000,21.68834
648601.75000,6132557.00000,20.95587
648606.62500,6132556.00000,20.62860
648600.81250,6132557.50000,19.52556
648607.56250,6132555.50000,19.71576
648599.81250,6132557.50000,17.99945
648608.56250,6132555.50000,18.81215
648616.25000,6132564.00000,10.14938
648616.43750,6132573.50000,11.23512
648616.75000,6132572.00000,11.32904
648616.50000,6132571.50000,11.00959
648616.25000,6132570.50000,10.90594
648616.93750,6132569.50000,10.43444
648617.12500,6132568.50000,10.09452
648617.18750,6132568.00000,9.73609
648616.93750,6132566.50000,9.84833
648617.25000,6132566.00000,10.00158
648616.87500,6132564.50000,10.26315
648614.37500,6132574.50000,11.46721
648613.43750,6132575.00000,11.88825
648612.43750,6132575.00000,12.83662
648611.50000,6132575.50000,13.82032
648615.37500,6132574.50000,11.27552
648610.56250,6132576.00000,14.62568
648609.62500,6132576.00000,15.45906
648616.31250,6132574.00000,11.35875
648608.62500,6132576.50000,16.72919
648607.68750,6132576.50000,17.70079
648606.75000,6132577.00000,18.47356
648604.93750,6132577.00000,19.70887
648604.25000,6132576.00000,19.56883
648603.06250,6132575.00000,21.02641
648602.31250,6132574.50000,20.82327
648600.56250,6132573.50000,19.55121
648601.37500,6132574.50000,21.47400
648599.62500,6132573.00000,17.67213
648598.75000,6132572.00000,16.63613
648597.93750,6132571.00000,15.28195
648605.75000,6132577.00000,19.16854
648597.06250,6132568.00000,13.22205
648596.18750,6132567.50000,13.07116
648595.31250,6132565.50000,12.35592
648595.25000,6132564.00000,11.97501
648595.00000,6132562.50000,11.79709
648596.00000,6132561.00000,12.13434
648595.06250,6132561.50000,11.95310
648595.87500,6132560.00000,12.86521
648598.87500,6132558.00000,16.40209
648597.87500,6132558.00000,14.91150
648596.93750,6132558.50000,13.97542
648595.93750,6132558.50000,13.49966
648597.43750,6132570.00000,14.58184
648597.25000,6132570.00000,14.32344
648597.00000,6132569.00000,13.93633
648616.12500,6132563.50000,10.22437
648615.37500,6132563.00000,10.28878
648610.31250,6132556.00000,15.85809
648612.37500,6132557.00000,13.73259
648611.25000,6132556.00000,14.97347
648615.37500,6132562.00000,10.44600
648615.56250,6132561.00000,10.62073
648615.18750,6132559.50000,11.15859
648614.81250,6132559.00000,11.60959
648614.37500,6132557.50000,12.21276
648613.37500,6132556.50000,13.13638
648609.50000,6132555.00000,17.89468
648603.31250,6132556.00000,24.37500
648603.93750,6132555.00000,25.46503
648604.87500,6132554.50000,25.21092
648602.37500,6132556.00000,23.10283
648605.81250,6132554.50000,23.76593
648601.43750,6132556.50000,21.68270
648606.81250,6132554.00000,22.30355
648600.43750,6132556.50000,20.20515
648607.75000,6132554.00000,21.08064
648599.43750,6132556.50000,18.76769
648608.68750,6132553.50000,19.99088
648617.25000,6132563.50000,10.28768
648617.31250,6132574.00000,11.76787
648617.43750,6132573.00000,11.69086
648617.68750,6132572.00000,11.86100
648617.43750,6132571.00000,11.34709
648617.18750,6132570.00000,11.16656
648617.87500,6132569.00000,10.58685
648618.06250,6132568.50000,10.27322
648618.12500,6132567.50000,9.92400
648617.93750,6132566.50000,10.11862
648618.25000,6132565.50000,10.26231
648617.81250,6132564.00000,10.43748
648615.18750,6132575.50000,11.73146
648614.25000,6132576.00000,12.14765
648613.31250,6132576.00000,12.95512
648612.31250,6132576.50000,14.11509
648611.37500,6132576.50000,15.20741
648616.18750,6132575.50000,11.41402
648610.37500,6132577.00000,15.96071
648609.43750,6132577.00000,17.40310
648617.12500,6132575.00000,11.44714
648608.50000,6132577.50000,18.07910
648607.50000,6132577.50000,18.54925
648606.56250,6132578.00000,18.78267
648604.81250,6132577.50000,19.84827
648603.93750,6132577.00000,20.79199
648603.31250,6132576.00000,21.32849
648602.06250,6132575.50000,22.27026
648599.93750,6132574.00000,19.11687
648600.43750,6132575.00000,21.33833
648601.12500,6132575.50000,22.45323
648599.56250,6132574.00000,18.66867
648598.62500,6132573.00000,16.40333
648597.81250,6132572.50000,16.25850
648596.93750,6132571.00000,15.23811
648605.56250,6132578.00000,19.09001
648596.06250,6132568.00000,13.36164
648595.25000,6132568.00000,13.08527
648594.37500,6132565.50000,12.42833
648594.25000,6132564.50000,12.12805
648594.00000,6132562.50000,11.80057
648594.12500,6132562.00000,11.88466
648594.93750,6132560.50000,12.50515
648593.93750,6132561.00000,12.23867
648595.00000,6132559.00000,13.15959
648598.25000,6132556.50000,17.91426
648597.68750,6132556.50000,16.35739
648597.31250,6132556.50000,15.99151
648596.37500,6132557.00000,15.33953
648595.37500,6132557.00000,14.76057
648596.50000,6132570.50000,14.83254
648596.25000,6132570.00000,14.46851
648596.06250,6132569.50000,14.13649
648617.12500,6132563.00000,10.23148
648616.37500,6132562.50000,10.21528
648610.50000,6132555.00000,16.90575
648612.18750,6132555.50000,14.33152
648611.43750,6132554.50000,16.02510
648616.31250,6132561.50000,10.29434
648616.56250,6132560.50000,10.41838
648616.12500,6132559.50000,10.86765
648615.81250,6132558.50000,11.27487
648615.31250,6132557.00000,11.95968
648614.31250,6132556.50000,12.70595
