XUTM,YUTM,EC 0-0.25 m
507709.87500,6082874.50000,1.47383
507710.34375,6082873.50000,1.42555
507712.25000,6082874.00000,1.40507
507711.34375,6082873.50000,1.36391
507711.93750,6082874.00000,1.40993
507712.87500,6082873.50000,1.43782
507713.34375,6082873.00000,1.44182
507721.65625,6082876.00000,2.16849
507721.96875,6082877.00000,2.43049
507727.15625,6082877.50000,2.70492
507722.25000,6082878.00000,2.72927
507724.62500,6082877.50000,2.70696
507724.59375,6082878.00000,2.81710
507725.87500,6082878.00000,2.79965
507729.75000,6082874.00000,1.95339
507727.53125,6082877.50000,2.84067
507728.21875,6082877.00000,2.68750
507729.56250,6082876.00000,2.41477
507729.87500,6082875.00000,2.21175
507720.06250,6082876.00000,2.16317
507720.56250,6082876.50000,2.25580
507721.62500,6082876.00000,2.27629
507729.90625,6082873.00000,1.81474
507730.75000,6082872.50000,1.74246
507731.37500,6082871.50000,1.64015
507731.00000,6082871.00000,1.53423
507731.28125,6082871.50000,1.54431
507732.00000,6082870.50000,1.51159
507732.59375,6082870.50000,1.48217
507734.56250,6082870.00000,1.43595
507704.71875,6082874.50000,1.41322
507705.53125,6082875.00000,1.53425
507707.43750,6082874.50000,1.50038
507703.62500,6082874.00000,1.26749
507703.75000,6082874.50000,1.40353
507702.03125,6082875.00000,1.58644
507702.81250,6082874.50000,1.48403
507707.09375,6082875.00000,1.51709
507706.34375,6082875.50000,1.56501
507740.90625,6082869.50000,1.41123
507741.87500,6082869.00000,1.39845
507739.90625,6082869.50000,1.40083
507738.90625,6082869.50000,1.37891
507743.40625,6082868.50000,1.39131
507742.87500,6082869.00000,1.32048
507699.03125,6082874.50000,1.73326
507698.18750,6082876.50000,1.90328
507697.21875,6082876.50000,2.01047
507748.37500,6082867.50000,1.52410
507747.46875,6082868.50000,1.58485
507748.43750,6082868.00000,1.65540
507745.50000,6082868.00000,1.50216
507745.21875,6082869.00000,1.53364
507734.93750,6082870.00000,1.41533
507735.93750,6082870.00000,1.37124
507695.15625,6082874.50000,1.82691
507695.40625,6082876.50000,2.00492
507696.31250,6082877.00000,2.06889
507745.37500,6082868.00000,1.51089
507744.40625,6082868.00000,1.46548
507749.06250,6082867.00000,1.56095
507692.40625,6082875.00000,1.94994
507756.18750,6082866.50000,1.86499
507737.90625,6082869.50000,1.35249
507737.50000,6082869.50000,1.33344
507738.75000,6082870.00000,1.37078
507736.93750,6082870.00000,1.31714
507736.87500,6082870.00000,1.35568
507694.65625,6082876.50000,2.02546
507693.65625,6082876.50000,2.09564
507700.03125,6082874.50000,1.67981
507701.37500,6082875.50000,1.65389
507700.37500,6082875.50000,1.70177
507717.90625,6082875.00000,1.78105
507718.40625,6082875.50000,1.99040
507719.46875,6082876.00000,2.10035
507717.03125,6082874.00000,1.59001
507716.37500,6082874.50000,1.64593
507716.18750,6082873.00000,1.52535
507716.31250,6082874.00000,1.56224
507715.34375,6082873.00000,1.49957
507714.34375,6082873.00000,1.45707
507716.18750,6082874.00000,1.55715
507714.81250,6082873.00000,1.48864
507715.34375,6082873.50000,1.51595
507709.50000,6082875.00000,1.52232
