XUTM,YUTM,EC 0-0.25 m
535325.75000,6247912.50000,4.58966
535326.68750,6247910.00000,5.25257
535333.00000,6247889.50000,5.13032
535341.31250,6247862.50000,8.42000
535340.43750,6247865.50000,7.35831
535339.56250,6247868.00000,6.43198
535338.68750,6247871.00000,5.87443
535337.31250,6247875.50000,5.39119
535336.25000,6247879.00000,5.06507
535335.18750,6247882.50000,5.06774
535334.12500,6247886.00000,5.06060
535332.06250,6247892.00000,5.17423
535330.68750,6247896.50000,5.17280
535329.56250,6247900.50000,5.36642
535328.50000,6247904.00000,5.53870
535327.56250,6247907.00000,5.45905
535269.62500,6248246.50000,3.07085
535232.50000,6248255.50000,3.39174
535232.93750,6248258.50000,3.30669
535232.50000,6248252.50000,3.44280
535234.43750,6248261.00000,3.25230
535237.00000,6248263.00000,3.10042
535237.12500,6248264.50000,2.84509
535240.87500,6248268.00000,2.83465
535237.18750,6248266.00000,2.97652
535243.56250,6248269.00000,2.87711
535232.62500,6248249.50000,3.43702
535241.12500,6248247.50000,3.47069
535247.06250,6248247.00000,3.47618
535254.00000,6248247.00000,3.49618
535262.75000,6248245.00000,3.45751
535270.56250,6248275.50000,3.34873
535264.56250,6248276.50000,3.33309
535266.25000,6248277.50000,3.46519
535269.00000,6248278.50000,3.49926
535259.25000,6248274.50000,3.34863
535258.75000,6248275.50000,3.40997
535253.56250,6248273.50000,3.40618
535253.50000,6248281.50000,4.32830
535261.56250,6248276.00000,3.36176
535260.06250,6248275.00000,3.40432
535263.50000,6248276.50000,3.40743
535250.18750,6248272.00000,3.28607
535246.87500,6248270.50000,3.01300
535276.62500,6248245.00000,2.65343
535281.56250,6248245.50000,2.57954
535324.93750,6247924.50000,3.13817
535271.68750,6248245.00000,3.03636
535272.31250,6248276.50000,3.38254
535276.68750,6248278.00000,3.65924
535281.93750,6248278.50000,3.85388
535282.00000,6248287.50000,4.28149
535279.25000,6248288.00000,4.65026
535282.06250,6248293.50000,6.10348
535277.18750,6248290.00000,5.16134
535326.68750,6247918.50000,3.77786
535325.81250,6247921.50000,3.38918
535323.68750,6247919.00000,3.81366
535318.06250,6247911.00000,5.14285
535319.62500,6247906.00000,6.20052
535325.75000,6247887.00000,5.30080
535342.06250,6247859.50000,9.87481
535335.06250,6247859.50000,9.15069
535334.00000,6247862.50000,8.35147
535332.75000,6247866.00000,7.06348
535331.81250,6247868.50000,6.26182
535330.93750,6247871.50000,5.96118
535329.37500,6247876.00000,5.72904
535328.43750,6247879.00000,5.53340
535327.50000,6247882.00000,5.37158
535324.43750,6247891.00000,5.32912
535323.50000,6247894.00000,5.36714
535321.87500,6247899.00000,5.88634
535320.56250,6247903.00000,6.25007
535270.56250,6248244.50000,3.28341
535269.50000,6248242.50000,3.56758
535227.62500,6248259.00000,3.26089
535225.43750,6248255.50000,3.33738
535230.25000,6248260.50000,3.17680
535230.68750,6248262.00000,3.27667
535225.31250,6248252.50000,3.41139
535234.50000,6248263.00000,3.15343
535234.56250,6248264.50000,3.02516
535239.31250,6248276.00000,4.57358
535236.56250,6248275.00000,4.40952
535233.75000,6248274.00000,4.23464
535230.25000,6248272.50000,4.31160
535242.50000,6248277.50000,4.50078
535232.81250,6248246.50000,3.40032
535225.18750,6248249.50000,3.35337
535241.06250,6248244.50000,3.62972
535247.06250,6248244.00000,3.72047
535253.93750,6248242.50000,3.95841
535262.68750,6248242.00000,3.75370
535270.62500,6248278.50000,3.57489
535259.87500,6248281.00000,4.22729
535263.06250,6248285.50000,4.62002
535270.56250,6248281.50000,3.92799
535259.81250,6248278.00000,3.79814
535249.12500,6248280.00000,4.43814
535256.31250,6248282.50000,4.26675
535248.87500,6248284.50000,6.06604
535254.75000,6248287.00000,6.27653
535246.31250,6248279.00000,4.38295
535281.43750,6248242.50000,2.62491
535276.50000,6248242.00000,2.80431
535281.37500,6248239.50000,2.68303
535324.00000,6247927.00000,3.01938
535323.12500,6247930.00000,2.93249
535322.43750,6247923.00000,3.24491
535321.56250,6247925.50000,3.03610
535321.31250,6247936.00000,2.75131
535271.62500,6248242.00000,3.37626
535272.00000,6248279.50000,3.51810
535276.43750,6248281.00000,3.81511
535274.31250,6248281.50000,3.84087
535281.93750,6248281.50000,4.06367
535281.93750,6248284.50000,4.20873
535278.75000,6248285.50000,4.33181
535275.75000,6248287.00000,4.76987
535280.43750,6248326.50000,15.55204
535275.12500,6248292.50000,5.85336
535275.43750,6248295.50000,7.54610
535281.62500,6248296.50000,7.96720
535275.37500,6248289.50000,5.16576
535315.75000,6247918.50000,3.61610
535315.00000,6247916.50000,4.06286
535312.81250,6247914.50000,4.43643
535310.00000,6247913.00000,4.81144
